sample_id,state,latitude,longitude,label,sample_type
1,arunachal pradesh,6388863.243900299,-1492223.2482010708,0,background
2,arunachal pradesh,6426761.041852926,-1577127.2329115772,0,background
3,arunachal pradesh,6308402.574964057,-1777562.9713466475,0,background
4,arunachal pradesh,6359621.257569275,-1837550.8167617738,0,background
5,arunachal pradesh,6461510.567715481,-1340657.1793306842,0,background
6,arunachal pradesh,6215336.419247453,-1769473.983856732,0,background
7,arunachal pradesh,6333961.468424719,-1523206.7840552698,0,background
8,arunachal pradesh,6353020.29481099,-1887914.670734827,0,background
9,arunachal pradesh,6294190.475586185,-1937743.588008235,0,background
10,arunachal pradesh,6275492.954133264,-1714940.1650297272,0,background
11,arunachal pradesh,6434012.163214233,-1508529.9014421965,0,background
12,arunachal pradesh,6221639.301645326,-1734539.0563426132,0,background
13,arunachal pradesh,6203520.422949792,-1752422.8203030748,0,background
14,arunachal pradesh,6294139.556118587,-1765342.5664666523,0,background
15,arunachal pradesh,6402336.699717473,-1493772.2418651176,0,background
16,arunachal pradesh,6329593.227276305,-1627975.4451433325,0,background
17,arunachal pradesh,6237347.968661017,-1779115.4889623323,0,background
18,arunachal pradesh,6461414.634021024,-1363968.5871383455,0,background
19,arunachal pradesh,6483353.804977154,-1556180.8277827413,0,background
20,arunachal pradesh,6219624.418557188,-1760787.7929182742,0,background
21,arunachal pradesh,6329443.169342071,-1819217.0497701338,0,background
22,arunachal pradesh,6479637.248715162,-1436419.684317202,0,background
23,arunachal pradesh,6358413.417107404,-1962573.508761247,0,background
24,arunachal pradesh,6258437.2550500445,-1696299.9853846687,0,background
25,arunachal pradesh,6298445.580144973,-1889324.2567533245,0,background
26,arunachal pradesh,6285721.020519823,-1644507.675432745,0,background
27,arunachal pradesh,6194282.23976733,-1782301.3336835776,0,background
28,arunachal pradesh,6355618.8043612335,-1571645.9753430435,0,background
29,arunachal pradesh,6278020.568373332,-1933688.12955812,0,background
30,arunachal pradesh,6445308.14801287,-1531054.679667955,0,background
31,arunachal pradesh,6367082.160009393,-1556099.1185439,0,background
32,arunachal pradesh,6246110.176709438,-1758986.55910032,0,background
33,arunachal pradesh,6259957.115930713,-1634877.6941215238,0,background
34,arunachal pradesh,6220809.558210006,-1745826.4077898962,0,background
35,arunachal pradesh,6265276.157657486,-1623487.752183017,0,background
36,arunachal pradesh,6302461.537648653,-1747147.5681870985,0,background
37,arunachal pradesh,6492238.090084544,-1496140.3996032684,0,background
38,arunachal pradesh,6451631.461069388,-1391611.4098241595,0,background
39,arunachal pradesh,6421157.677035898,-1611108.0616168934,0,background
40,arunachal pradesh,6440068.1845393265,-1755989.7034160784,0,background
41,arunachal pradesh,6475651.505251941,-1545652.632991644,0,background
42,arunachal pradesh,6378350.945027786,-1540475.8392571558,0,background
43,arunachal pradesh,6308871.546482718,-1906314.6635271492,0,background
44,arunachal pradesh,6266016.473184713,-1795041.0100229967,0,background
45,arunachal pradesh,6352099.221131658,-1592833.5132538907,0,background
46,arunachal pradesh,6189928.024698518,-1784940.418611659,0,background
47,arunachal pradesh,6476962.878976419,-1341962.4434440457,0,background
48,arunachal pradesh,6314892.1301257275,-1776068.1588683573,0,background
49,arunachal pradesh,6361039.718260668,-1876207.9837862742,0,background
