system:index,District,History,Latitude,Longitude,Material_Involved,Movement_Type,NH_SH_Location,SlNo,Slide_Name,Slide_No,State,elevation_m,.geo,index_right,osm_id,nearest_road_type,nearest_road_name,nearest_road_ref,road_distance_m
00000000000000000503,Papum Pare,2008,27.078472137451172,93.605639,,Slide,,898,Slide at Vivekvihar,AP/PP/83E12/2008/A-1,Arunachal Pradesh,238,"{""type"":""MultiPoint"",""coordinates"":[]}",204294,1127676851,residential,,,95.82050636074717
00000000000000000519,Papum Pare,2008,27.095277786254883,93.615694,,Slide,,912,Slide at Nitivihar,AP/PP/83E12/2008/A-2,Arunachal Pradesh,336,"{""type"":""MultiPoint"",""coordinates"":[]}",207268,1127958220,service,,,2.3386534892899973
0000000000000000053c,Papum Pare,2008,27.112222,93.694444,,Flow,,937,Slide at Naharlagun nala,AP/PP/83E12/2008/A-6,Arunachal Pradesh,137,"{""type"":""MultiPoint"",""coordinates"":[]}",192331,1126626484,residential,,,74.94886107231999
0000000000000000054d,Papum Pare,2008,27.124444,93.742222,,Creep,,950,Slide at Nirijuli,AP/PP/83E12/2008/A-8,Arunachal Pradesh,153,"{""type"":""MultiPoint"",""coordinates"":[]}",204467,1127691821,residential,,,49.40589076062479
0000000000000000065d,West Kameng,2008,27.512277603149418,91.875556,,Flow,,1180,Slide at 5 km SE from Tawang,AP/WK/78M14/2008/A-13,Arunachal Pradesh,3095,"{""type"":""MultiPoint"",""coordinates"":[]}",62831,884729778,unclassified,,,2186.6944458036446
000000000000000006b9,Tawang,22 April 2016,27.587417,91.886944,,Slide,,1242,Famla Slide,ARN/TWNG/78M14/2016/0002,Arunachal Pradesh,2587,"{""type"":""MultiPoint"",""coordinates"":[]}",4721,245697883,unclassified,,,27.77659873633692
000000000000000006c6,Tawang,22 April 2016,27.591806411743164,91.865028,,Fall,,1254,All India Radio Colony Slide,ARN/TWNG/78M14/2016/0008,Arunachal Pradesh,2925,"{""type"":""MultiPoint"",""coordinates"":[]}",15563,507428621,unclassified,,,2.916580463618932
000000000000000006ca,Tawang,22 April 2016,27.593139,91.873889,,Slide,,1258,D.C. & S. P. Bungalows Slide,ARN/TWNG/78M14/2016/0010,Arunachal Pradesh,2933,"{""type"":""MultiPoint"",""coordinates"":[]}",4649,244619618,residential,,,25.71165536993389
000000000000000006bd,Tawang,23 April 2016,27.58941650390625,91.861444,,Slide,,1246,New Lebrang slide,ARN/TWNG/78M14/2016/0022,Arunachal Pradesh,2873,"{""type"":""MultiPoint"",""coordinates"":[]}",15566,507428624,unclassified,,,52.35812287785479
000000000000000006cb,Tawang,23 April 2016,27.593361,91.879444,,Subsidence,,1259,Changpu sinking zone,ARN/TWNG/78M14/2016/0023,Arunachal Pradesh,2812,"{""type"":""MultiPoint"",""coordinates"":[]}",26198,560851692,trunk,,NH13,54.55192876078157
00000000000000000482,Kamrup,"1 May 2025, 2300hrs",26.14988889,91.77394444,,NIL,,793,Handique Nagar slide,AS-01/2012-13,Assam,116,"{""type"":""MultiPoint"",""coordinates"":[]}",77655,993567067,residential,,,21.253479285189446
00000000000000000483,Kamrup,"22 June 2012, 03.30hrs",26.10891667,91.74175262451172,,NIL,,794,Lalunggaon Slide,AS-02/2012-13,Assam,87,"{""type"":""MultiPoint"",""coordinates"":[]}",235778,1142001760,residential,,,25.4248315765412
00000000000000000484,Kamrup,"""25 June 2012 between 1400hrs &",26.12911111,91.74911111,,NIL,,795,Sonaighuli Slide,AS-03/2012-13,Assam,71,"{""type"":""MultiPoint"",""coordinates"":[]}",14341,497513031,residential,,,64.42517604862148
00000000000000000486,Kamrup,25 June 2012 12:30hrs,26.15333333,91.77711111,,NIL,,796,Udayanchal Slide,AS-04/2012-13,Assam,73,"{""type"":""MultiPoint"",""coordinates"":[]}",19242,508670363,residential,,,1.0658217181537664
00000000000000000487,Kamrup,"27 June 2012, 0030hrs",26.15052778,91.72766667,,NIL,,797,Tilabazar Slide,AS-05/2012-13,Assam,95,"{""type"":""MultiPoint"",""coordinates"":[]}",76807,991926354,residential,,,50.228351620075145
00000000000000000488,Kamrup,26 June 2012 06:45hrs,26.16405556,91.72827778,,NIL,,798,Mathurangar Hillside slide,AS-06/2012-13,Assam,94,"{""type"":""MultiPoint"",""coordinates"":[]}",45498,715259717,residential,,,100.61508373506759
00000000000000000480,Dima Hasao,Between 21st & 23rd May 2011,25.10727778,92.88313889,,NIL,,791,Rekho slide-1,AS-13/2011,Assam,318,"{""type"":""MultiPoint"",""coordinates"":[]}",38111,666911001,unclassified,,,3.761690269197414
00000000000000000481,Dima Hasao,Last week of May 2011,25.10622222,92.8844985961914,,NIL,,792,Rekho slide-2,AS-14/2011,Assam,319,"{""type"":""MultiPoint"",""coordinates"":[]}",38111,666911001,unclassified,,,2.0656683556585897
0000000000000000047d,Kamrup (Metro),24 & 25 Aug. 2005,26.15958333,91.72388889,,NIL,,788,Maligaon petrol pump,AS-32/2005,Assam,184,"{""type"":""MultiPoint"",""coordinates"":[]}",76839,991926389,residential,,,116.71927102869658
0000000000000000047e,Kamrup (Metro),24 & 25 Aug. 2005,26.15166667,91.73138889,,NIL,,789,"Himgiri path, Dhirenpara",AS-33/2005,Assam,51,"{""type"":""MultiPoint"",""coordinates"":[]}",76783,991924898,residential,,,13.105736643292987
0000000000000000047f,Kamrup (Metro),24 & 25 Aug. 2005,26.15544444,91.6790008544922,,NIL,,790,Jalukbari on NH,AS-34/2005,Assam,55,"{""type"":""MultiPoint"",""coordinates"":[]}",298417,1537401513,service,,,152.42649982854536
00000000000000000e52,Tamenglong,16 June 2007,24.81722068786621,93.51721954345705,,,,18716,Khongsong slide,MAN/TAM/83H09/2007/C-1,Manipur,444,"{""type"":""MultiPoint"",""coordinates"":[]}",11436,417716460,trunk,,NH37,667.7451908106019
00000000000000000fc8,Tamenglong,28 August 2007,24.99694061279297,93.5022201538086,,,,19019,Tamenglong-2 slide,MAN/TAM/83H09/2007/C-6,Manipur,1186,"{""type"":""MultiPoint"",""coordinates"":[]}",38528,667404564,unclassified,,,126.13747985034144
000000000000000012b2,Jaintia Hills,31 July 2007,25.12186050415039,92.388583,,Flow,NH-44,19675,Sonapur slide,MEGH/JH/83C08/2007/D-23,Meghalaya,135,"{""type"":""MultiPoint"",""coordinates"":[]}",264,44880793,trunk,,NH6,348.6279663506772
00000000000000001499,West Garo Hills,27 July 2007,25.51028060913086,90.21678161621094,,,,20108,Tura town (Rishipara) slide,MEGH/WGH/78K02/2007/D-19,Meghalaya,324,"{""type"":""MultiPoint"",""coordinates"":[]}",270950,1335311300,primary,Akonggre road,,115.10675663336662
00000000000000001694,West Khasi Hills,01 May 2012 at 3 AM,25.36497222,91.02411111,,,,20524,Pynden Shallang slide,ML-01/2012-13,Meghalaya,398,"{""type"":""MultiPoint"",""coordinates"":[]}",289437,1471214614,track,,,6727.030941132909
00000000000000001695,Jaintia Hills,"26 June 2012, at 3AM",25.26361111,92.38557778,,,,20525,West Khasi Hills,ML-02/2012-13,Meghalaya,844,"{""type"":""MultiPoint"",""coordinates"":[]}",54343,743133270,trunk,,NH6,146.95155769688157
