SlNo,Slide_No,State,District,Slide_Name,Latitude,Longitude,History,event_date,rainfall_mm
8,ASM/HLKD/83D10/2016/58,Assam,Hailakandi,Terracherra Slide,24.478972,92.682861,17 May 2016,2016-05-17,129.30499748606235
15,ASM/HLKD/83D10/2016/60,Assam,Hailakandi,Ramchandi (Koyabasti),24.51594352722168,92.540889,18 May 2016,2016-05-18,50.28499855939299
30,ASM/CCR/83H2/2016/66,Assam,Cachar,Khasiapunji slide,24.645417,93.005361,31 August 2016,2016-08-31,36.65999908000231
35,AS/KAR/83D06/2009-10/AS-2,Assam,Karimganj,Rongpur slide,24.710832595825195,92.481167,03 June 2010,2010-06-03,36.914999324828386
36,ASM/CHR/83D14/2020/0002,Assam,Cachar,Govindnagar Slide,24.721920013427734,92.90380859375,05 June 2020,2020-06-05,5.550000011920929
38,ASM/KGJ/83D05/2020/0008,Assam,Karimganj,Karimpur Slide 2,24.78002778,92.45372222,02 June 2020,2020-06-02,32.444999454542994
39,ASM/KGJ/83D05/2020/007,Assam,Karimganj,Karimpur Slide 1,24.78380556,92.45563889,02 June 2020,2020-06-02,32.444999454542994
474,AS/KRP/78N16/2018/001,Assam,Kamrup,Shankardev Nagar slide,26.112667083740234,91.853889,24 August 2018,2018-08-24,17.974999797530472
488,AS/KAM(M)/78N12/2023/01,Assam,Kamrup (Metro),Dhirenpara,26.1505375,91.72798139,17 June 2023 at 18:00 hrs.,2023-06-17,49.639998733997345
490,ASM/KMP/78N16/2017/03,Assam,Kamrup (Metro),Anandapur-Gangapur slide,26.154279708862305,91.79264068603516,13 June 2017,2017-06-13,83.35499838925898
503,ASM/KMP/78N16/2017/05,Assam,Kamrup (Metro),Dakshin Saraniya-1,26.176719665527344,91.76525115966797,13 June 2017,2017-06-13,83.35499838925898
504,ASM/KMP/78N16/2017/0004,Assam,Kamrup (Metro),Dakshin Saraniya-2,26.177560806274414,91.7658920288086,13 June 2017,2017-06-13,83.35499838925898
506,ASM/KMP/78N16/2017/06,Assam,Kamrup (Metro),Bonda-Hajongdisa slide,26.188419342041016,91.85124969482422,16 June 2017,2017-06-16,78.80999772250652
519,AS/KAM/78N16/2014/05,Assam,Kamrup (Metro),Karghuli,26.19622039794922,91.76335906982422,23 March 2011,2011-03-23,0.0
623,ASM/DH/83G04/2022-23/014,Assam,Dima Hasao,South Bagetar Slide 1,25.167360305786133,93.00952911376953,15 May 2022,2022-05-15,73.85499800182879
642,ASM/DH/83G04/2022-23/026,Assam,Dima Hasao,Lower Songpijang Slide 1,25.158138275146484,93.024778,15 May 2022,2022-05-15,73.85499800182879
643,ASM/DH/83G4/ PD/2016/55,Assam,Dima Hasao (N.C. Hills),Nutan Lampur slide -1,25.24194444,93.14319444,22 May 2016,2016-05-22,0.4599999859929085
650,ASM/DH/83G4/ PD/2016/56,Assam,Dima Hasao (N.C. Hills),Nutan Lampur slide -2,25.27480556,93.14555556,22 May 2016,2016-05-22,0.4599999859929085
655,ASM/DH/83G04/2022-23/032,Assam,Dima Hasao,Moulhoi Slide 3,25.174829483032227,93.019861,15 May 2022,2022-05-15,73.85499800182879
656,ASM/DH/83G04/2022-23/033,Assam,Dima Hasao,Mahadev Tilla slide 2,25.1568056,93.019722,13 May 2022,2022-05-13,74.77999894320965
664,ASM/DH/83C16/2022-23/042,Assam,Dima Hasao,Kokai Punchi Slide,25.164270401000977,92.99787902832031,14 -15 May 2022,2022-05-15,64.2199991941452
667,ASM/DH/83G04/2022-23/038,Assam,Dima Hasao,Lower Songpijang slide 2,25.165529251098633,93.02172088623047,14-15 May 2022,2022-05-15,73.85499800182879
672,ASM/DH/83G4/ PD/2016/29,Assam,Dima Hasao (N.C. Hills),Haflong-Jatinga road section slide-04,25.15713889,93.01719444,27 May 2016,2016-05-27,3.604999945499003
683,ASM/DH/83G4/PD/2016/43,Assam,Dima Hasao (N.C. Hills),New Haflong R.S. slide - (2),25.14872222,93.03191667,17 May 2016,2016-05-17,116.25999782048166
722,ASM/DH/83G4/ PD/2016/23,Assam,Dima Hasao,Mahur,25.17638889,93.11613889,22 May 2016,2016-05-22,0.7549999915063381
729,ASM/KAM(M)/78N16/2016/63,Assam,Kamrup (Metro),Mandakini slide,26.19244444,91.76422222,20 July 2016,2016-07-20,14.644999638199806
730,ASM/KAM/78N16/2019/03,Assam,Kamrup (Metro),Amiya Nagar Slide,26.19236111,91.78080556,10 July 2019,2019-07-10,55.109998285770416
731,ASM/KAM/78N12/2019/04,Assam,Kamrup (Metro),Bezbaruah Nagar slide,26.15805556,91.71258333,16 July 2019,2019-07-16,1.934999942779541
