system:index,District,History,Latitude,Longitude,Material_Involved,Movement_Type,NH_SH_Location,SlNo,Slide_Name,Slide_No,State,slope_deg,.geo
00000000000000000503,Papum Pare,2008,27.078472137451172,93.605639,,Slide,,898,Slide at Vivekvihar,AP/PP/83E12/2008/A-1,Arunachal Pradesh,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000519,Papum Pare,2008,27.095277786254883,93.615694,,Slide,,912,Slide at Nitivihar,AP/PP/83E12/2008/A-2,Arunachal Pradesh,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000053c,Papum Pare,2008,27.112222,93.694444,,Flow,,937,Slide at Naharlagun nala,AP/PP/83E12/2008/A-6,Arunachal Pradesh,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000054d,Papum Pare,2008,27.124444,93.742222,,Creep,,950,Slide at Nirijuli,AP/PP/83E12/2008/A-8,Arunachal Pradesh,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000065d,West Kameng,2008,27.512277603149414,91.875556,,Flow,,1180,Slide at 5 km SE from Tawang,AP/WK/78M14/2008/A-13,Arunachal Pradesh,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006b9,Tawang,22 April 2016,27.587417,91.886944,,Slide,,1242,Famla Slide,ARN/TWNG/78M14/2016/0002,Arunachal Pradesh,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006c6,Tawang,22 April 2016,27.591806411743164,91.865028,,Fall,,1254,All India Radio Colony Slide,ARN/TWNG/78M14/2016/0008,Arunachal Pradesh,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006ca,Tawang,22 April 2016,27.593139,91.873889,,Slide,,1258,D.C. & S. P. Bungalows Slide,ARN/TWNG/78M14/2016/0010,Arunachal Pradesh,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006bd,Tawang,23 April 2016,27.58941650390625,91.861444,,Slide,,1246,New Lebrang slide,ARN/TWNG/78M14/2016/0022,Arunachal Pradesh,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006cb,Tawang,23 April 2016,27.593361,91.879444,,Subsidence,,1259,Changpu sinking zone,ARN/TWNG/78M14/2016/0023,Arunachal Pradesh,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000482,Kamrup,"1 May 2025, 2300hrs",26.14988889,91.77394444,,NIL,,793,Handique Nagar slide,AS-01/2012-13,Assam,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000483,Kamrup,"22 June 2012, 03.30hrs",26.10891667,91.74175262451172,,NIL,,794,Lalunggaon Slide,AS-02/2012-13,Assam,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000484,Kamrup,"""25 June 2012 between 1400hrs &",26.12911111,91.74911111,,NIL,,795,Sonaighuli Slide,AS-03/2012-13,Assam,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000486,Kamrup,25 June 2012 12:30hrs,26.15333333,91.77711111,,NIL,,796,Udayanchal Slide,AS-04/2012-13,Assam,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000487,Kamrup,"27 June 2012, 0030hrs",26.15052778,91.72766667,,NIL,,797,Tilabazar Slide,AS-05/2012-13,Assam,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000488,Kamrup,26 June 2012 06:45hrs,26.16405556,91.72827778,,NIL,,798,Mathurangar Hillside slide,AS-06/2012-13,Assam,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000480,Dima Hasao,Between 21st & 23rd May 2011,25.10727778,92.88313889,,NIL,,791,Rekho slide-1,AS-13/2011,Assam,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000481,Dima Hasao,Last week of May 2011,25.10622222,92.8844985961914,,NIL,,792,Rekho slide-2,AS-14/2011,Assam,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
