SlNo,Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History,elevation_m,slope_deg,aspect_deg,lulc_class,clay_surface_pct,nearest_road_type,nearest_road_name,nearest_road_ref,road_distance_m,nearest_settlement_type,nearest_settlement_population,nearest_settlement_name,settlement_distance_m,event_date,rainfall_mm
898,AP/PP/83E12/2008/A-1,Arunachal Pradesh,Papum Pare,Slide at Vivekvihar,,27.078472137451172,93.605639,,Slide,2008,238,12,142,10,29.0,residential,,,95.82050636074716,village,0,Chimpu,1269.7786340750888,,
912,AP/PP/83E12/2008/A-2,Arunachal Pradesh,Papum Pare,Slide at Nitivihar,,27.095277786254883,93.615694,,Slide,2008,336,20,95,10,28.0,service,,,2.3386534892899973,city,5000,Itanagar,850.3889901827553,,
937,AP/PP/83E12/2008/A-6,Arunachal Pradesh,Papum Pare,Slide at Naharlagun nala,,27.112222,93.694444,,Flow,2008,137,5,236,30,25.0,residential,,,74.94886107231999,town,0,Naharlagun,1036.6576592051667,,
950,AP/PP/83E12/2008/A-8,Arunachal Pradesh,Papum Pare,Slide at Nirijuli,,27.124444,93.742222,,Creep,2008,153,20,310,10,28.0,residential,,,49.40589076062479,village,0,Amba,3033.575583445427,,
1180,AP/WK/78M14/2008/A-13,Arunachal Pradesh,West Kameng,Slide at 5 km SE from Tawang,,27.512277603149418,91.875556,,Flow,2008,3095,26,291,10,17.0,unclassified,,,2186.6944458036446,village,0,,2634.8137746980447,,
1242,ARN/TWNG/78M14/2016/0002,Arunachal Pradesh,Tawang,Famla Slide,,27.587417,91.886944,,Slide,22 April 2016,2587,5,100,30,20.0,unclassified,,,27.77659873633692,hamlet,0,Bangde,510.2392809169438,2016-04-22,26.474999092519283
1254,ARN/TWNG/78M14/2016/0008,Arunachal Pradesh,Tawang,All India Radio Colony Slide,,27.591806411743164,91.865028,,Fall,22 April 2016,2925,19,205,60,21.0,unclassified,,,2.916580463618932,city,11000,Tawang,449.2818285663343,2016-04-22,26.474999092519283
1258,ARN/TWNG/78M14/2016/0010,Arunachal Pradesh,Tawang,D.C. & S. P. Bungalows Slide,,27.593139,91.873889,,Slide,22 April 2016,2933,9,122,50,21.0,residential,,,25.71165536993389,hamlet,0,Baiga,702.4595875643096,2016-04-22,26.474999092519283
1246,ARN/TWNG/78M14/2016/0022,Arunachal Pradesh,Tawang,New Lebrang slide,,27.58941650390625,91.861444,,Slide,23 April 2016,2873,22,101,30,21.0,unclassified,,,52.35812287785479,village,448,Shyo,165.16307749350844,2016-04-23,1.0299999620765448
1259,ARN/TWNG/78M14/2016/0023,Arunachal Pradesh,Tawang,Changpu sinking zone,,27.593361,91.879444,,Subsidence,23 April 2016,2812,18,105,10,20.0,trunk,,NH13,54.55192876078157,hamlet,0,Baiga,493.5955787925627,2016-04-23,1.0299999620765448
793,AS-01/2012-13,Assam,Kamrup,Handique Nagar slide,,26.14988889,91.77394444,,NIL,"1 May 2025, 2300hrs",116,14,188,50,31.0,residential,,,21.25347928518945,town,0,Dispur,1974.8145278257584,2025-05-01,48.08999947831035
794,AS-02/2012-13,Assam,Kamrup,Lalunggaon Slide,,26.10891667,91.74175262451172,,NIL,"22 June 2012, 03.30hrs",87,30,2,10,27.0,residential,,,25.4248315765412,town,0,Dispur,6070.660230033658,2012-06-22,15.564999591559172
795,AS-03/2012-13,Assam,Kamrup,Sonaighuli Slide,,26.12911111,91.74911111,,NIL,"""25 June 2012 between 1400hrs &",71,8,157,10,29.0,residential,,,64.42517604862148,town,0,Dispur,4390.67031538577,2012-06-25,
796,AS-04/2012-13,Assam,Kamrup,Udayanchal Slide,,26.15333333,91.77711111,,NIL,25 June 2012 12:30hrs,73,13,78,50,29.0,residential,,,1.0658217181537664,town,0,Dispur,1954.7625941118251,2012-06-25,85.07999835163355
797,AS-05/2012-13,Assam,Kamrup,Tilabazar Slide,,26.15052778,91.72766667,,NIL,"27 June 2012, 0030hrs",95,11,105,10,28.0,residential,,,50.228351620075145,town,0,Maligaon,3354.6885383739427,2012-06-27,18.874999672174457
798,AS-06/2012-13,Assam,Kamrup,Mathurangar Hillside slide,,26.16405556,91.72827778,,NIL,26 June 2012 06:45hrs,94,20,17,10,28.0,residential,,,100.6150837350676,city,1000000,গুৱাহাটী,3152.4681202489824,2012-06-26,13.984999728389084
791,AS-13/2011,Assam,Dima Hasao,Rekho slide-1,,25.10727778,92.88313889,,NIL,Between 21st & 23rd May 2011,318,11,48,30,29.0,unclassified,,,3.761690269197414,hamlet,0,Rekha,322.51727211316745,,
