system:index,aspect_deg,clay_surface_pct,elevation_m,label,lulc_class,sample_id,sample_type,slope_deg,state,.geo
00000000000000000000_0,25,20,3080,0,10,1,background,27,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.14677171337644,28.125532072825354]}"
00000000000000000001_0,294,29,1676,0,10,2,background,20,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.78789933165257,27.528871061113172]}"
00000000000000000002_0,270,23,213,0,30,3,background,1,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.73661467749304,28.196678643327623]}"
00000000000000000003_0,180,28,204,0,40,4,background,2,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.11606305350512,27.504347053856705]}"
00000000000000000004_0,6,15,2296,0,10,5,background,29,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.72168434664928,27.722098678727278]}"
00000000000000000005_0,347,16,2706,0,10,6,background,49,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.89130456941842,29.158774312619627]}"
00000000000000000006_0,315,15,4583,0,70,7,background,30,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.5219081760248,28.61170030459084]}"
00000000000000000007_0,341,26,1168,0,10,8,background,24,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.55021883032009,27.421881710774535]}"
00000000000000000008_0,294,19,2888,0,10,9,background,40,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[97.1115760513664,27.86331384139087]}"
00000000000000000009_0,54,16,3505,0,30,10,background,24,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.28440276346726,28.705214925667683]}"
0000000000000000000a_0,24,19,1914,0,10,11,background,24,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.1952807387189,27.623463660530952]}"
0000000000000000000b_0,302,15,3660,0,10,12,background,39,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.57788236678914,29.194347597870763]}"
0000000000000000000c_0,41,17,4586,0,70,13,background,29,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.77434391942609,29.326130450051096]}"
0000000000000000000d_0,87,26,2029,0,10,14,background,46,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.66735456908742,28.37562304792423]}"
0000000000000000000e_0,261,21,1364,0,10,15,background,32,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.13302748952941,27.983777920991294]}"
0000000000000000000f_0,278,21,3077,0,10,16,background,25,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.42390655280917,28.3904452501122]}"
00000000000000000010_0,92,15,3084,0,10,17,background,21,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.92014049003865,28.90949182127646]}"
00000000000000000011_0,105,15,3815,0,10,18,background,21,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.91976286679761,27.67278116962912]}"
00000000000000000012_0,48,27,631,0,10,19,background,6,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.49711467418308,27.000122684880417]}"
00000000000000000013_0,0,17,3549,0,100,20,background,20,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.80695276423961,29.140448680823592]}"
00000000000000000014_0,180,31,176,0,10,21,background,4,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.03575366710487,27.863583335976102]}"
00000000000000000015_0,338,27,1726,0,10,22,background,21,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.49944571963994,27.32324669257821]}"
00000000000000000016_0,215,23,2470,0,10,23,background,31,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[97.15334771207796,27.138642901691647]}"
