sample_id,latitude,longitude,state,label,elevation_m,slope_deg,aspect_deg,lulc_class,clay_surface_pct,road_distance_m,settlement_distance_m
1,28.125518993191047,93.1466813016961,arunachal pradesh,0,3080,27,25,10,20,11776.171171043436,8527.804783906795
2,27.52899000584823,93.7879198406145,arunachal pradesh,0,1676,20,294,10,29,104.33032395796351,2514.589434313537
3,28.196579130624585,95.73661732230772,arunachal pradesh,0,213,1,270,30,23,5992.842992156713,8282.970230663661
4,27.50444885104733,96.1161364616646,arunachal pradesh,0,204,2,180,40,28,3346.131194538771,4175.554053955753
5,27.72216324316101,91.72161759886404,arunachal pradesh,0,2296,29,6,10,15,169.922560869005,735.5344107873159
6,29.158655585793916,95.89137782486634,arunachal pradesh,0,2706,49,347,10,16,14952.081973436936,15122.421017443605
7,28.611570446276534,93.52186909537436,arunachal pradesh,0,4583,30,315,70,15,3026.403885392665,9118.780236915149
8,27.42181766845765,96.55026733292333,arunachal pradesh,0,1168,24,341,10,26,3925.430489459078,6656.70977009552
9,27.863437960285395,97.11162295738336,arunachal pradesh,0,2888,40,294,10,19,16682.79240056872,10516.11078771898
10,28.705321142031828,95.28436548576784,arunachal pradesh,0,3505,24,54,30,16,14320.366158855131,11432.599266968928
11,27.623427858561165,93.19532348200708,arunachal pradesh,0,1914,24,24,10,19,3298.387909592523,3659.8929350357776
12,29.194288387887894,95.57800891733922,arunachal pradesh,0,3660,39,302,10,15,743.2593005232644,15110.792902849164
13,29.326140191485816,95.77437268207818,arunachal pradesh,0,4586,29,41,70,17,7115.735693616963,31890.28651407967
14,28.375612966246702,95.66742772585584,arunachal pradesh,0,2029,46,87,10,26,11897.567561643102,10120.009912332443
15,27.983772349381,93.13311994042122,arunachal pradesh,0,1364,32,261,10,21,3139.634789636156,636.1418495508666
16,28.390534126145702,94.42387859993784,arunachal pradesh,0,3077,25,278,10,21,6248.661152535406,9307.896800301753
17,28.909441524085945,95.92005124192008,arunachal pradesh,0,3084,21,92,10,15,4206.075077856671,5633.284219242812
18,27.67281524801754,91.91982311661243,arunachal pradesh,0,3815,21,105,10,15,79.63280926401468,5864.748993428475
19,27.00010327638493,93.49720322432202,arunachal pradesh,0,631,6,48,10,27,2026.243150925444,5636.71372657078
20,29.140322041532663,95.80692102191152,arunachal pradesh,0,3549,20,0,100,17,10864.771733782529,11073.70729562404
21,27.863663802859268,96.03578052009334,arunachal pradesh,0,176,4,180,10,31,1045.0481943836087,2819.550909309956
22,27.32317296688728,92.49931470452668,arunachal pradesh,0,1726,21,338,10,27,2218.8486372045136,630.066949059841
23,27.13861893735656,97.15324637305216,arunachal pradesh,0,2470,31,215,10,23,15512.276979283331,16267.441664394652
24,28.929054805881236,95.16521156721448,arunachal pradesh,0,2520,34,342,10,17,7390.034363189971,8591.251771491956
25,27.968811016957257,96.69749648418644,arunachal pradesh,0,1254,24,170,10,27,408.8132057306772,955.078267829936
26,28.7924943091509,94.66144231054952,arunachal pradesh,0,1575,18,253,10,17,6642.196026542279,12777.657885596936
27,29.333371362027748,96.05228966829333,arunachal pradesh,0,4639,17,279,70,15,21368.343549844463,21948.897048098155
28,28.270158298153586,93.8897152691035,arunachal pradesh,0,3289,12,284,10,19,9986.48939087245,8876.974532134398
29,28.038680663504408,97.11931408929924,arunachal pradesh,0,4345,36,89,100,20,13355.888067810884,13313.853509293642
30,27.452853576138484,93.3626923482856,arunachal pradesh,0,3297,15,152,10,24,14868.123589332738,15232.151249941826
31,28.1921628860999,93.73373154420683,arunachal pradesh,0,2009,21,272,10,24,6181.900627302884,3971.0622874003902
32,28.878633848538783,95.72791602416544,arunachal pradesh,0,2483,21,180,10,18,7315.4168824800045,8513.407338308838
33,29.079019299429852,94.63668714052604,arunachal pradesh,0,3340,36,174,10,14,14480.825834154974,15404.985792607717
34,29.170846703687452,95.67640144524847,arunachal pradesh,0,4074,34,201,70,16,10411.447088735984,13347.690629138053
35,29.055159020562833,94.52723028708364,arunachal pradesh,0,3560,39,237,10,17,3941.149501192671,4866.888378016468
36,28.3427461937678,95.49426193488333,arunachal pradesh,0,753,27,277,10,30,10049.668960712645,14301.305865884797
37,27.054060535424135,92.9772844312882,arunachal pradesh,0,414,12,175,10,27,7879.545146649557,8819.727744171365
