SlNo,State,District,event_date,susceptibility_probability,rainfall_probability
1771,Arunachal Pradesh,Lower Dibang Valley,2024-04-24,0.9966666666666667,0.2902079672880148
1941,Arunachal Pradesh,Lower Dibang Valley,2024-04-24,0.9966666666666667,0.2902079672880148
1120,Arunachal Pradesh,Lower Subansiri,2016-07-16,0.9966666666666667,0.9827486378601027
999,Arunachal Pradesh,Lower Subansiri,2016-07-16,0.9733333333333334,0.973110313843897
1938,Arunachal Pradesh,Papum Pare,2024-06-18,0.9366666666666666,0.6131912790441425
1940,Arunachal Pradesh,Papum Pare,2024-06-18,0.92,0.5869846788061717
2078,Arunachal Pradesh,Papum Pare,2026-03-16,1.0,0.21235617762825285
878,Arunachal Pradesh,West Kameng,2016-07-01,0.9166666666666666,0.8513148038158304
1242,Arunachal Pradesh,Tawang,2016-04-22,0.9933333333333333,0.5255786189837955
1254,Arunachal Pradesh,Tawang,2016-04-22,1.0,0.5255786189837955
1258,Arunachal Pradesh,Tawang,2016-04-22,0.9833333333333333,0.5255786189837955
1218,Arunachal Pradesh,Tawang,2016-04-22,0.9966666666666667,0.5255786189837955
1241,Arunachal Pradesh,Tawang,2016-04-22,0.9933333333333333,0.5255786189837955
1219,Arunachal Pradesh,Tawang,2016-04-22,0.9966666666666667,0.5255786189837955
1246,Arunachal Pradesh,Tawang,2016-04-23,0.94,0.430076625430031
1259,Arunachal Pradesh,Tawang,2016-04-23,0.96,0.430076625430031
1264,Arunachal Pradesh,Tawang,2016-04-23,0.9733333333333334,0.430076625430031
1265,Arunachal Pradesh,Tawang,2016-04-23,0.9733333333333334,0.430076625430031
1220,Arunachal Pradesh,Tawang,2016-04-23,0.9666666666666667,0.430076625430031
1251,Arunachal Pradesh,Tawang,2016-04-23,0.8433333333333334,0.4249834546425813
1103,Arunachal Pradesh,Lower Subansiri,2016-07-17,0.99,0.9659432991963561
1082,Arunachal Pradesh,Lower Subansiri,2016-07-17,1.0,0.9526343204056587
1049,Arunachal Pradesh,Lower Subansiri,2016-07-17,0.9966666666666667,0.9526343204056587
1042,Arunachal Pradesh,Lower Subansiri,2016-07-17,1.0,0.9526343204056587
1033,Arunachal Pradesh,Lower Subansiri,2016-07-17,0.9966666666666667,0.9526343204056587
30,Assam,Cachar,2016-08-31,0.73,0.7670439308349785
36,Assam,Cachar,2020-06-05,0.8566666666666667,0.7704211441526888
243,Assam,Dima Hasao,2010-04-02,0.71,0.5042736351018864
521,Assam,Dima Hasao,2009-08-20,0.66,0.5656321200106151
783,Assam,Dima Hasao,2022-05-16,0.8566666666666667,0.9689794766961246
656,Assam,Dima Hasao,2022-05-13,0.9733333333333334,0.8835432830746914
722,Assam,Dima Hasao,2016-05-22,0.99,0.6360285502170046
813,Assam,Dima Hasao,2022-06-16,0.8,0.9870355978268712
672,Assam,Dima Hasao (N.C. Hills),2016-05-27,0.9966666666666667,0.5037291892267397
643,Assam,Dima Hasao (N.C. Hills),2016-05-22,0.97,0.6254241639471793
683,Assam,Dima Hasao (N.C. Hills),2016-05-17,0.9966666666666667,0.9584371842432791
650,Assam,Dima Hasao (N.C. Hills),2016-05-22,0.9966666666666667,0.6254241639471793
709,Assam,Dima Hasao (N.C. Hills),2014-08-20,1.0,0.1755154351857151
723,Assam,Dima Hasao (N.C. Hills),2016-05-22,0.99,0.6391348089944647
8,Assam,Hailakandi,2016-05-17,0.66,0.8456459166089103
15,Assam,Hailakandi,2016-05-18,0.88,0.9620356868633678
793,Assam,Kamrup,2025-05-01,0.98,0.35425514726014945
795,Assam,Kamrup,2012-06-25,0.7766666666666666,0.9650059670055623
796,Assam,Kamrup,2012-06-25,0.9666666666666667,0.9650059670055623
797,Assam,Kamrup,2012-06-27,0.85,0.8999938435906526
842,Assam,Kamrup,2014-07-17,0.7,0.2552400340785576
844,Assam,Kamrup,2014-09-23,0.69,0.9983285062195244
845,Assam,Kamrup,2008-12-26,0.7666666666666667,0.09946246932540784
847,Assam,Kamrup,2025-07-05,0.9966666666666667,0.4721258817890916
800,Assam,Kamrup,2025-06-06,0.8433333333333334,0.4051868329734015
474,Assam,Kamrup,2018-08-24,1.0,0.4329248595698344
801,Assam,Kamrup,2025-06-04,0.9633333333333334,0.5788669888305791
802,Assam,Kamrup,2025-06-04,0.9866666666666667,0.5788669888305791
776,Assam,Kamrup (Metro),2022-06-16,0.9233333333333333,0.9991818548896478
762,Assam,Kamrup (Metro),2017-06-13,1.0,0.7939229537927537
731,Assam,Kamrup (Metro),2019-07-16,0.8033333333333333,0.5605937955077012
730,Assam,Kamrup (Metro),2019-07-10,0.9433333333333334,0.878025210057395
773,Assam,Kamrup (Metro),2020-06-28,0.8966666666666666,0.8146663881032592
504,Assam,Kamrup (Metro),2017-06-13,0.9666666666666667,0.7939229537927537
490,Assam,Kamrup (Metro),2017-06-13,0.9066666666666666,0.7939229537927537
503,Assam,Kamrup (Metro),2017-06-13,1.0,0.7939229537927537
488,Assam,Kamrup (Metro),2023-06-17,0.9333333333333333,0.9094708322205337
519,Assam,Kamrup (Metro),2011-03-23,0.8533333333333334,0.1928869299624912
777,Assam,Kamrup (Metro),2022-06-16,0.9433333333333334,0.9996145378737431
729,Assam,Kamrup (Metro),2016-07-20,0.9766666666666667,0.46047999708540527
774,Assam,Kamrup (Metro),2020-07-12,0.8866666666666667,0.752397962937851
506,Assam,Kamrup (Metro),2017-06-16,0.79,0.6979078300286288
775,Assam,Kamrup (Metro),2020-06-26,0.9766666666666667,0.8514763126950312
843,Assam,Kamrup (Metro),2025-11-02,0.8333333333333334,0.16220298111896395
856,Assam,Kamrup (Metro),2024-08-08,0.7,0.5846377882402457
35,Assam,Karimganj,2010-06-03,0.8366666666666667,0.8827876765058817
38,Assam,Karimganj,2020-06-02,0.8333333333333334,0.803817625029626
39,Assam,Karimganj,2020-06-02,0.9166666666666666,0.803817625029626
590,Assam,Udalguri,2021-04-28,1.0,0.11933321037080358
589,Assam,Udalguri,2021-04-28,0.98,0.11933321037080358
852,Assam,West Khasi Hills,2014-07-18,0.7466666666666667,0.21606441911427354
794,Assam,Kamrup,2012-06-22,0.9266666666666666,0.6318292392520041
798,Assam,Kamrup,2012-06-26,0.7666666666666667,0.9312747110666683
808,Assam,Dima Hasao,2022-05-14,0.91,0.8910987894231389
805,Assam,Dima Hasao,2022-05-14,0.8266666666666667,0.9253832371913937
632,Assam,Dima Hasao,2022-05-14,0.93,0.942585767925054
633,Assam,Dima Hasao,2022-05-14,1.0,0.942585767925054
624,Assam,Dima Hasao,2022-05-14,0.9933333333333333,0.942585767925054
787,Assam,Dima Hasao,2022-05-14,0.9966666666666667,0.942585767925054
779,Assam,Dima Hasao,2022-05-14,0.93,0.942585767925054
647,Assam,Dima Hasao,2022-05-14,0.9866666666666667,0.942585767925054
640,Assam,Dima Hasao,2022-05-14,0.9833333333333333,0.942585767925054
666,Assam,Dima Hasao,2022-05-14,0.92,0.942585767925054
649,Assam,Dima Hasao,2022-05-14,0.99,0.942585767925054
664,Assam,Dima Hasao,2022-05-15,1.0,0.9493960691417876
623,Assam,Dima Hasao,2022-05-15,0.93,0.9540282564777223
785,Assam,Dima Hasao,2022-05-15,0.88,0.9540282564777223
655,Assam,Dima Hasao,2022-05-15,0.9833333333333333,0.9540282564777223
667,Assam,Dima Hasao,2022-05-15,0.9,0.9540282564777223
642,Assam,Dima Hasao,2022-05-15,0.8866666666666667,0.9540282564777223
778,Assam,Kamrup (Metro),2022-06-17,0.8666666666666667,0.998882626609267
804,Assam,Kamrup,2025-05-31,0.9966666666666667,0.8334615806441971
799,Assam,Kamrup,2025-05-31,0.7633333333333333,0.872483807992427
846,Assam,Kamrup (Metro),2025-05-31,0.7466666666666667,0.872483807992427
850,Assam,Dima Hasao,2025-06-05,1.0,0.38198290365920207
849,Assam,Dima Hasao,2025-06-05,0.9766666666666667,0.38198290365920207
803,Assam,Kamrup,2025-06-05,0.8766666666666667,0.5094679615127421
848,Assam,Kamrup (Metro),2025-06-05,0.74,0.39506892736181504
19559,Manipur,Bishnupur,2024-08-01,1.0,0.8306993442673956
19560,Manipur,Bishnupur,2024-08-02,0.96,0.7889627168621219
18354,Manipur,Chandel,2007-09-07,0.94,0.8522194153127738
19217,Manipur,Kangpokpi,2017-06-04,0.97,0.5735801968800697
18904,Manipur,Noney,2018-06-06,1.0,0.26120003118466045
19578,Manipur,Ri-Bhoi,2011-06-26,0.9833333333333333,0.6017150078379654
19515,Manipur,Senapati,2007-09-09,0.8833333333333333,0.5386736096245073
