record_id,sample_id,latitude,longitude,state,elevation_m,slope_deg,aspect_deg,lulc_class,clay_surface_pct,road_distance_m,settlement_distance_m,label,sample_type
L_898,898,27.078472137451172,93.605639,Arunachal Pradesh,238,12,142,10,29.0,95.82050636074716,1269.7786340750888,1,landslide
L_912,912,27.095277786254883,93.615694,Arunachal Pradesh,336,20,95,10,28.0,2.3386534892899973,850.3889901827553,1,landslide
L_937,937,27.112222,93.694444,Arunachal Pradesh,137,5,236,30,25.0,74.94886107231999,1036.6576592051667,1,landslide
L_950,950,27.124444,93.742222,Arunachal Pradesh,153,20,310,10,28.0,49.40589076062479,3033.575583445427,1,landslide
L_1180,1180,27.512277603149418,91.875556,Arunachal Pradesh,3095,26,291,10,17.0,2186.6944458036446,2634.8137746980447,1,landslide
L_1242,1242,27.587417,91.886944,Arunachal Pradesh,2587,5,100,30,20.0,27.77659873633692,510.2392809169438,1,landslide
L_1254,1254,27.591806411743164,91.865028,Arunachal Pradesh,2925,19,205,60,21.0,2.916580463618932,449.2818285663343,1,landslide
L_1258,1258,27.593139,91.873889,Arunachal Pradesh,2933,9,122,50,21.0,25.71165536993389,702.4595875643096,1,landslide
L_1246,1246,27.58941650390625,91.861444,Arunachal Pradesh,2873,22,101,30,21.0,52.35812287785479,165.16307749350844,1,landslide
L_1259,1259,27.593361,91.879444,Arunachal Pradesh,2812,18,105,10,20.0,54.55192876078157,493.5955787925627,1,landslide
L_793,793,26.14988889,91.77394444,Assam,116,14,188,50,31.0,21.25347928518945,1974.8145278257584,1,landslide
L_794,794,26.10891667,91.74175262451172,Assam,87,30,2,10,27.0,25.4248315765412,6070.660230033658,1,landslide
L_795,795,26.12911111,91.74911111,Assam,71,8,157,10,29.0,64.42517604862148,4390.67031538577,1,landslide
L_796,796,26.15333333,91.77711111,Assam,73,13,78,50,29.0,1.0658217181537664,1954.7625941118251,1,landslide
L_797,797,26.15052778,91.72766667,Assam,95,11,105,10,28.0,50.228351620075145,3354.6885383739427,1,landslide
L_798,798,26.16405556,91.72827778,Assam,94,20,17,10,28.0,100.6150837350676,3152.4681202489824,1,landslide
