system:index,District,Latitude,Longitude,SlNo,State,event_date,rainfall_15d_mm,rainfall_24h_mm,rainfall_72h_mm,rainfall_7d_mm,.geo
00000000000000000211,Lower Dibang Valley,28.38919722,95.92776111,1771,Arunachal Pradesh,2024-04-17,95.58499841578305,30.339999610558152,34.67999951168895,41.47499938309193,"{""type"":""Point"",""coordinates"":[95.92776111,28.389197220000003]}"
00000000000000000212,Lower Dibang Valley,28.38919722,95.92776111,1941,Arunachal Pradesh,2024-04-17,95.58499841578305,30.339999610558152,34.67999951168895,41.47499938309193,"{""type"":""Point"",""coordinates"":[95.92776111,28.389197220000003]}"
0000000000000000005f,Lower Subansiri,27.339267,93.802581,1120,Arunachal Pradesh,2016-07-09,425.9054890498519,95.08999821171165,138.69499682821333,280.8849930819124,"{""type"":""Point"",""coordinates"":[93.802581,27.339267]}"
00000000000000000061,Lower Subansiri,27.193425,93.780983,999,Arunachal Pradesh,2016-07-09,475.1824895441532,146.984997946769,255.49999469518661,378.51999204419553,"{""type"":""Point"",""coordinates"":[93.780983,27.193424999999998]}"
0000000000000000005e,Papum Pare,27.105253219604492,93.825399,1938,Arunachal Pradesh,2024-06-11,356.24498984310776,20.11999951209873,25.704999342560768,57.88999858498573,"{""type"":""Point"",""coordinates"":[93.825399,27.105253219604492]}"
000000000000000001bb,Papum Pare,27.12113571166992,93.762164,1940,Arunachal Pradesh,2024-06-11,341.0149924205616,13.394999950192869,31.579999568872154,65.75499891210347,"{""type"":""Point"",""coordinates"":[93.762164,27.121135711669915]}"
00000000000000000262,Papum Pare,27.099285125732425,93.614766,2078,Arunachal Pradesh,2026-03-09,14.659999687224627,0.004999999888241291,0.004999999888241291,1.209999960847199,"{""type"":""Point"",""coordinates"":[93.614766,27.099285125732425]}"
0000000000000000006a,West Kameng,27.018342,92.6355972290039,878,Arunachal Pradesh,2016-06-24,303.82999330665916,52.634998792782426,81.21999794337898,128.70999711100012,"{""type"":""Point"",""coordinates"":[92.6355972290039,27.018341999999997]}"
00000000000000000070,Cachar,24.645417,93.005361,30,Assam,2016-08-24,62.41499814298004,0.39499998837709427,3.434999890625477,18.134999433532357,"{""type"":""Point"",""coordinates"":[93.005361,24.645417000000002]}"
00000000000000000071,Cachar,24.721920013427734,92.90380859375,36,Assam,2020-05-29,189.8649956556037,14.554999653249979,84.46499782335013,109.4349971730262,"{""type"":""Point"",""coordinates"":[92.90380859375,24.721920013427734]}"
0000000000000000006e,Dima Hasao,25.229556,93.15560150146484,243,Assam,2010-03-26,18.844999758526683,4.2849999740719795,7.104999981820583,7.104999981820583,"{""type"":""Point"",""coordinates"":[93.15560150146484,25.229556000000002]}"
0000000000000000006f,Dima Hasao,26.20261001586914,91.14527893066406,521,Assam,2009-08-13,314.82699344400316,116.98999743256718,136.10999702755362,168.25999638903886,"{""type"":""Point"",""coordinates"":[91.14527893066406,26.20261001586914]}"
0000000000000000007e,Dima Hasao,25.17741584777832,93.00975036621094,783,Assam,2022-05-09,109.15199697669595,11.799999691545963,11.799999691545963,73.13999802898616,"{""type"":""Point"",""coordinates"":[93.00975036621094,25.17741584777832]}"
00000000000000000080,Dima Hasao,25.1568056,93.019722,656,Assam,2022-05-06,97.98199727665633,0.03999999910593033,36.32999896723777,85.75199760030955,"{""type"":""Point"",""coordinates"":[93.019722,25.1568056]}"
000000000000000001c1,Dima Hasao,25.316197,93.006158,813,Assam,2022-06-09,133.02349702455103,21.68499972485006,28.829999558627605,111.85999763570726,"{""type"":""Point"",""coordinates"":[93.006158,25.316197]}"
00000000000000000084,Dima Hasao (N.C. Hills),25.15713889,93.01719444,672,Assam,2016-05-20,372.47499279957265,17.65999946370721,180.28999623190612,360.80999308731407,"{""type"":""Point"",""coordinates"":[93.01719444,25.157138889999995]}"
00000000000000000086,Dima Hasao (N.C. Hills),25.14872222,93.03191667,683,Assam,2016-05-10,123.41949702333659,0.2149999924004078,2.209999960847199,26.869999531656504,"{""type"":""Point"",""coordinates"":[93.03191667000002,25.14872222]}"
00000000000000000273,Dima Hasao (N.C. Hills),25.20738889,93.12277778,709,Assam,2014-08-13,74.35799810662866,5.60999983549118,9.104999735951424,34.42999898362905,"{""type"":""Point"",""coordinates"":[93.12277778,25.207388890000004]}"
00000000000000000087,Hailakandi,24.478972,92.682861,8,Assam,2016-05-10,112.70049701537937,0.23499999195337296,2.7899999506771564,55.92499853298068,"{""type"":""Point"",""coordinates"":[92.682861,24.478972000000002]}"
000000000000000001c4,Hailakandi,24.51594352722168,92.540889,15,Assam,2016-05-11,144.5529963998124,11.224999815225601,17.079999580979347,53.60499897971749,"{""type"":""Point"",""coordinates"":[92.540889,24.515943527221683]}"
