system:index,District,Latitude,Longitude,SlNo,State,event_date,rainfall_15d_mm,rainfall_24h_mm,rainfall_72h_mm,rainfall_7d_mm,.geo
0000000000000000024d,Lower Dibang Valley,28.38919722,95.92776111,1771,Arunachal Pradesh,2024-04-24,103.73999791406095,23.919999470934272,50.97499888855964,73.81999820098281,"{""type"":""Point"",""coordinates"":[95.92776111,28.389197220000003]}"
0000000000000000024e,Lower Dibang Valley,28.38919722,95.92776111,1941,Arunachal Pradesh,2024-04-24,103.73999791406095,23.919999470934272,50.97499888855964,73.81999820098281,"{""type"":""Point"",""coordinates"":[95.92776111,28.389197220000003]}"
00000000000000000061,Lower Subansiri,27.339267,93.802581,1120,Arunachal Pradesh,2016-07-16,559.8004866018891,130.07499702647328,165.66499638184905,307.00499351508915,"{""type"":""Point"",""coordinates"":[93.802581,27.339267]}"
00000000000000000063,Lower Subansiri,27.193425,93.780983,999,Arunachal Pradesh,2016-07-16,598.1974857123569,89.23999736644328,133.38499553967267,317.69499241840094,"{""type"":""Point"",""coordinates"":[93.780983,27.193424999999998]}"
00000000000000000060,Papum Pare,27.105253219604492,93.825399,1938,Arunachal Pradesh,2024-06-18,214.25499514862895,65.37999863736331,81.84999813418835,159.5049965074286,"{""type"":""Point"",""coordinates"":[93.825399,27.105253219604496]}"
000000000000000001f0,Papum Pare,27.12113571166992,93.762164,1940,Arunachal Pradesh,2024-06-18,214.09499561227858,57.954998827539384,77.19999843277037,149.82999681774527,"{""type"":""Point"",""coordinates"":[93.762164,27.121135711669915]}"
000000000000000002a3,Papum Pare,27.099285125732425,93.614766,2078,Arunachal Pradesh,2026-03-16,64.16999860014766,10.584999790415168,46.57999891228974,54.34999877586961,"{""type"":""Point"",""coordinates"":[93.614766,27.099285125732425]}"
0000000000000000006c,West Kameng,27.018342,92.6355972290039,878,Arunachal Pradesh,2016-07-01,320.0074925730005,62.512498043477535,148.537496432662,178.15249567851424,"{""type"":""Point"",""coordinates"":[92.6355972290039,27.018341999999997]}"
00000000000000000000,Tawang,27.587417,91.886944,1242,Arunachal Pradesh,2016-04-22,149.4949964415282,61.769998592324555,89.0899982014671,113.08999725524336,"{""type"":""Point"",""coordinates"":[91.886944,27.587416999999995]}"
00000000000000000001,Tawang,27.591806411743164,91.865028,1254,Arunachal Pradesh,2016-04-22,149.4949964415282,61.769998592324555,89.0899982014671,113.08999725524336,"{""type"":""Point"",""coordinates"":[91.865028,27.591806411743168]}"
00000000000000000002,Tawang,27.593139,91.873889,1258,Arunachal Pradesh,2016-04-22,149.4949964415282,61.769998592324555,89.0899982014671,113.08999725524336,"{""type"":""Point"",""coordinates"":[91.873889,27.593139000000004]}"
00000000000000000068,Tawang,27.58741667,91.88694444,1218,Arunachal Pradesh,2016-04-22,149.4949964415282,61.769998592324555,89.0899982014671,113.08999725524336,"{""type"":""Point"",""coordinates"":[91.88694444,27.58741667]}"
00000000000000000069,Tawang,27.587417,91.886944,1241,Arunachal Pradesh,2016-04-22,149.4949964415282,61.769998592324555,89.0899982014671,113.08999725524336,"{""type"":""Point"",""coordinates"":[91.886944,27.587416999999995]}"
00000000000000000242,Tawang,27.58741667,91.88694444,1219,Arunachal Pradesh,2016-04-22,149.4949964415282,61.769998592324555,89.0899982014671,113.08999725524336,"{""type"":""Point"",""coordinates"":[91.88694444,27.58741667]}"
00000000000000000003,Tawang,27.58941650390625,91.861444,1246,Arunachal Pradesh,2016-04-23,150.52499640360475,27.504999054595828,82.48999818321317,109.7599972402677,"{""type"":""Point"",""coordinates"":[91.861444,27.589416503906246]}"
00000000000000000004,Tawang,27.593361,91.879444,1259,Arunachal Pradesh,2016-04-23,150.52499640360475,27.504999054595828,82.48999818321317,109.7599972402677,"{""type"":""Point"",""coordinates"":[91.879444,27.593361]}"
0000000000000000006a,Tawang,27.596639,91.878972,1264,Arunachal Pradesh,2016-04-23,150.52499640360475,27.504999054595828,82.48999818321317,109.7599972402677,"{""type"":""Point"",""coordinates"":[91.878972,27.596639]}"
0000000000000000006b,Tawang,27.596639,91.878972,1265,Arunachal Pradesh,2016-04-23,150.52499640360475,27.504999054595828,82.48999818321317,109.7599972402677,"{""type"":""Point"",""coordinates"":[91.878972,27.596639]}"
00000000000000000243,Tawang,27.59152778,91.88044444,1220,Arunachal Pradesh,2016-04-23,150.52499640360475,27.504999054595828,82.48999818321317,109.7599972402677,"{""type"":""Point"",""coordinates"":[91.88044444,27.59152778]}"
0000000000000000028d,Tawang,27.591388702392575,91.90249633789062,1251,Arunachal Pradesh,2016-04-23,150.38499667681754,34.11999902129173,72.54499799571931,96.75499780941755,"{""type"":""Point"",""coordinates"":[91.90249633789062,27.591388702392575]}"
00000000000000000062,Lower Subansiri,27.307071685791016,93.806008,1103,Arunachal Pradesh,2016-07-17,513.5449879840016,88.61999805271626,160.51499668508768,232.65999490208924,"{""type"":""Point"",""coordinates"":[93.80600800000002,27.30707168579102]}"
00000000000000000064,Lower Subansiri,27.294885635375977,93.803328,1082,Arunachal Pradesh,2016-07-17,492.62499184627086,83.13499877788126,142.6899970844388,212.68999606836587,"{""type"":""Point"",""coordinates"":[93.80332800000001,27.294885635375977]}"
00000000000000000065,Lower Subansiri,27.254756,93.801303,1049,Arunachal Pradesh,2016-07-17,492.62499184627086,83.13499877788126,142.6899970844388,212.68999606836587,"{""type"":""Point"",""coordinates"":[93.801303,27.254756]}"
00000000000000000066,Lower Subansiri,27.246131,93.804711,1042,Arunachal Pradesh,2016-07-17,492.62499184627086,83.13499877788126,142.6899970844388,212.68999606836587,"{""type"":""Point"",""coordinates"":[93.80471100000001,27.246131]}"
00000000000000000067,Lower Subansiri,27.23995018005371,93.806589,1033,Arunachal Pradesh,2016-07-17,492.62499184627086,83.13499877788126,142.6899970844388,212.68999606836587,"{""type"":""Point"",""coordinates"":[93.806589,27.239950180053714]}"
00000000000000000072,Cachar,24.645417,93.005361,30,Assam,2016-08-31,230.57999512925744,117.30499757826328,179.9949963092804,210.5799957588315,"{""type"":""Point"",""coordinates"":[93.005361,24.645417000000002]}"
00000000000000000073,Cachar,24.721920013427734,92.90380859375,36,Assam,2020-06-05,376.2499888744205,72.61499790474772,159.2749952012673,250.14999199751765,"{""type"":""Point"",""coordinates"":[92.90380859375,24.721920013427734]}"
00000000000000000070,Dima Hasao,25.229556,93.15560150146484,243,Assam,2010-04-02,250.32299441006035,20.247999515384436,128.11299709323794,247.38299440499395,"{""type"":""Point"",""coordinates"":[93.15560150146484,25.229556000000002]}"
00000000000000000071,Dima Hasao,26.20261001586914,91.14527893066406,521,Assam,2009-08-20,366.46999261528254,19.109999508596957,105.42999845091254,220.28999590780586,"{""type"":""Point"",""coordinates"":[91.14527893066406,26.20261001586914]}"
00000000000000000080,Dima Hasao,25.17741584777832,93.00975036621094,783,Assam,2022-05-16,515.4719869652763,145.27499570511281,286.93999378941953,443.04498891346157,"{""type"":""Point"",""coordinates"":[93.00975036621094,25.177415847778324]}"
00000000000000000082,Dima Hasao,25.1568056,93.019722,656,Assam,2022-05-13,318.00199161376804,131.85499715991318,220.4099943228066,232.20999401435256,"{""type"":""Point"",""coordinates"":[93.019722,25.1568056]}"
00000000000000000085,Dima Hasao,25.17638889,93.11613889,722,Assam,2016-05-22,431.66998955607414,64.84499819204211,80.53999775927514,353.6499914303422,"{""type"":""Point"",""coordinates"":[93.11613889,25.17638889]}"
000000000000000001f6,Dima Hasao,25.316197,93.006158,813,Assam,2022-06-16,481.5084881959483,232.28999384865165,320.9549917476252,366.39999090414494,"{""type"":""Point"",""coordinates"":[93.006158,25.316197]}"
00000000000000000086,Dima Hasao (N.C. Hills),25.15713889,93.01719444,672,Assam,2016-05-27,462.244990542531,22.334999577142298,31.909999270923436,112.95999711938202,"{""type"":""Point"",""coordinates"":[93.01719444,25.157138889999995]}"
00000000000000000087,Dima Hasao (N.C. Hills),25.24194444,93.14319444,643,Assam,2016-05-22,389.0049928566441,70.7999985711649,88.06999800540507,342.3749939594418,"{""type"":""Point"",""coordinates"":[93.14319444,25.24194444]}"
00000000000000000088,Dima Hasao (N.C. Hills),25.14872222,93.03191667,683,Assam,2016-05-17,339.14499369543046,204.4749965276569,273.9699951801449,303.48999446164817,"{""type"":""Point"",""coordinates"":[93.03191667000002,25.14872222]}"
0000000000000000024f,Dima Hasao (N.C. Hills),25.27480556,93.14555556,650,Assam,2016-05-22,389.0049928566441,70.7999985711649,88.06999800540507,342.3749939594418,"{""type"":""Point"",""coordinates"":[93.14555556,25.27480556]}"
000000000000000002b4,Dima Hasao (N.C. Hills),25.20738889,93.12277778,709,Assam,2014-08-20,153.02999630384147,4.614999920129776,11.239999689161777,120.02499725762755,"{""type"":""Point"",""coordinates"":[93.12277778,25.207388890000004]}"
000000000000000002b6,Dima Hasao (N.C. Hills),25.177499771118164,93.02622222,723,Assam,2016-05-22,433.6099912105128,64.00999837182462,81.66999783553183,351.41499320883304,"{""type"":""Point"",""coordinates"":[93.02622222,25.17749977111816]}"
00000000000000000089,Hailakandi,24.478972,92.682861,8,Assam,2016-05-17,322.91999209858477,141.76499716378748,178.00999633781612,253.30499388836324,"{""type"":""Point"",""coordinates"":[92.682861,24.478972000000002]}"
000000000000000001f9,Hailakandi,24.51594352722168,92.540889,15,Assam,2016-05-18,400.0749927936122,229.57499586138874,241.00499569717795,339.4749941090122,"{""type"":""Point"",""coordinates"":[92.540889,24.515943527221683]}"
00000000000000000005,Kamrup,26.14988889,91.77394444,793,Assam,2025-05-01,159.63499628473073,48.7449994571507,72.15999869070947,120.8299974417314,"{""type"":""Point"",""coordinates"":[91.77394444,26.14988889]}"
00000000000000000007,Kamrup,26.12911111,91.74911111,795,Assam,2012-06-25,514.2599886162207,196.43499643355608,228.25499568879604,328.94999282527715,"{""type"":""Point"",""coordinates"":[91.74911111,26.129111109999997]}"
00000000000000000008,Kamrup,26.15333333,91.77711111,796,Assam,2012-06-25,514.2599886162207,196.43499643355608,228.25499568879604,328.94999282527715,"{""type"":""Point"",""coordinates"":[91.77711111,26.15333333]}"
00000000000000000009,Kamrup,26.15052778,91.72766667,797,Assam,2012-06-27,541.9149882234633,32.85999940056354,229.29499583411962,335.87499286420643,"{""type"":""Point"",""coordinates"":[91.72766667,26.150527780000008]}"
0000000000000000004e,Kamrup,25.757752,91.252285,842,Assam,2014-07-17,193.9149954477325,3.0849999096244574,42.65499900467694,76.39999798126519,"{""type"":""Point"",""coordinates"":[91.252285,25.757752]}"
0000000000000000004f,Kamrup,25.872268,91.213965,844,Assam,2014-09-23,579.5699877226725,245.33499533683062,493.2349900715053,536.0399887720123,"{""type"":""Point"",""coordinates"":[91.213965,25.872267999999995]}"
00000000000000000050,Kamrup,26.2272613,91.6922458,845,Assam,2008-12-26,1.484999980777502,1.484999980777502,1.484999980777502,1.484999980777502,"{""type"":""Point"",""coordinates"":[91.6922458,26.227261300000002]}"
00000000000000000051,Kamrup,26.246980667114254,91.964383,847,Assam,2025-07-05,203.34999464824796,45.96999913454056,107.3849971704185,126.86999661009759,"{""type"":""Point"",""coordinates"":[91.964383,26.246980667114254]}"
0000000000000000006d,Kamrup,26.158193,91.755807,800,Assam,2025-06-06,353.22999228164554,8.33499988168478,51.84499882161617,215.17499434761703,"{""type"":""Point"",""coordinates"":[91.755807,26.158193000000004]}"
0000000000000000006f,Kamrup,26.11266708374023,91.853889,474,Assam,2018-08-24,208.93999561667442,53.50999924261123,80.70999885443598,88.92499870527536,"{""type"":""Point"",""coordinates"":[91.853889,26.112667083740234]}"
000000000000000001f2,Kamrup,26.16618537902832,91.7146987915039,801,Assam,2025-06-04,381.89999142475426,43.50999893993139,89.12999774236232,285.7499934975058,"{""type"":""Point"",""coordinates"":[91.7146987915039,26.16618537902832]}"
000000000000000001f3,Kamrup,26.166160583496097,91.713803,802,Assam,2025-06-04,381.89999142475426,43.50999893993139,89.12999774236232,285.7499934975058,"{""type"":""Point"",""coordinates"":[91.713803,26.166160583496097]}"
